PRICE,ROOMS,BATHROOMS,SURFACE,CITY,DISTRICT,ASSET_TYPE
155000,2,1,42,Palermo,Palermo Soho,Departamento
240000,2,1,51,Palermo,Palermo Hollywood,Departamento
235000,2,1,55,Vicente López,Olivos,Departamento
185000,3,1,78,Vicente López,Olivos,PH
273000,3,1,69,Palermo,Palermo Hollywood,Departamento
550000,3,2,77,Palermo,Palermo Hollywood,Departamento
520000,3,2,78,Palermo,Palermo Hollywood,Departamento
155000,3,2,68,Palermo,Palermo Soho,Departamento
155000,3,2,68,Palermo,Palermo Soho,Departamento
235000,3,1,70,Palermo,Palermo Hollywood,Departamento
189000,3,1,74,Palermo,Palermo Soho,Departamento
335000,3,2,82,Palermo,Palermo Soho,Departamento
1100000,6,2,248,Palermo,Palermo Chico,Departamento
295000,3,1,73,Palermo,Palermo Chico,Departamento
200000,3,2,76,Palermo,Palermo Soho,Departamento
240000,3,2,72,Palermo,Palermo Hollywood,Departamento
248000,3,2,84,Vicente López,Olivos,Departamento
320000,4,2,112,Palermo,Palermo Soho,PH
185000,5,1,100,Vicente López,Munro,PH
425000,4,2,500,Vicente López,Olivos,Casa
1750000,5,2,250,Palermo,Palermo Chico,Departamento
384500,4,3,168,Palermo,Palermo Soho,Departamento
560000,5,2,146,Palermo,Palermo Chico,Departamento
265000,1,3,258,Vicente López,Florida Oeste,Casa
115000,1,1,40,Palermo,Palermo Soho,Departamento
112000,1,1,40,Palermo,Palermo Soho,Departamento
230000,2,1,107,Vicente López,Florida,Departamento
279000,3,2,90,Vicente López,Olivos,Departamento
89900,2,1,50,Vicente López,Vicente López,PH
169000,2,1,42,Palermo,Palermo Soho,Departamento
105000,2,1,36,Palermo,Palermo Hollywood,Departamento
180000,2,1,52,Palermo,Palermo Soho,Departamento
169000,2,1,42,Palermo,Palermo Soho,Departamento
180000,2,1,55,Vicente López,Vicente López,Departamento
119000,2,1,40,Vicente López,Vicente López,Departamento
185000,3,1,61,Palermo,Palermo Soho,Departamento
185000,3,1,61,Palermo,Palermo Soho,Departamento
165000,3,1,57,Vicente López,Vicente López,Departamento
230200,3,1,85,Vicente López,Vicente López,Departamento
236400,3,1,85,Vicente López,Vicente López,Departamento
385000,4,2,270,Vicente López,Florida,PH
385000,4,2,270,Vicente López,Florida,Casa
570000,4,3,171,Palermo,Palermo Soho,Departamento
1280000,6,2,205,Palermo,Palermo Chico,Departamento
480000,4,2,120,Palermo,Palermo Chico,Departamento
420000,5,3,357,Palermo,Palermo Viejo,Departamento
145000,1,1,43,Palermo,Palermo Hollywood,Departamento
149000,1,1,43,Palermo,Palermo Hollywood,Departamento
250000,1,1,60,Palermo,Palermo Chico,Departamento
80000,1,1,37,Vicente López,Carapachay,Departamento
120000,2,1,64,Palermo,Palermo Hollywood,PH
120000,2,1,64,Palermo,Palermo Soho,PH
195000,2,1,81,Vicente López,Florida,PH
77000,2,1,38,Vicente López,Olivos,PH
140000,2,1,76,Vicente López,Olivos,PH
140000,2,1,76,Vicente López,Florida,PH
135000,2,1,44,Palermo,Palermo Hollywood,Departamento
120000,2,1,64,Palermo,Palermo Soho,Departamento
183000,2,1,43,Palermo,Palermo Hollywood,Departamento
119000,2,1,37,Palermo,Palermo Hollywood,Departamento
120000,2,1,64,Palermo,Palermo Hollywood,Departamento
195000,2,2,53,Palermo,Palermo Hollywood,Departamento
110000,2,1,48,Palermo,Palermo Soho,Departamento
145000,2,1,44,Palermo,Palermo Hollywood,Departamento
120000,2,1,46,Vicente López,Olivos,Departamento
210000,3,1,65,Vicente López,Olivos,PH
188000,3,1,85,Vicente López,Florida,PH
178000,3,1,56,Vicente López,Vicente López,PH
240000,3,1,90,Vicente López,Florida,PH
195000,3,1,90,Vicente López,Munro,Casa
575000,3,2,78,Palermo,Palermo Hollywood,Departamento
325000,3,1,74,Palermo,Palermo Hollywood,Departamento
170000,3,1,60,Vicente López,Olivos,Departamento
240000,4,1,90,Vicente López,Florida,PH
215000,4,1,92,Vicente López,Olivos,PH
230000,4,2,168,Vicente López,Olivos,PH
230000,4,2,168,Vicente López,Florida,PH
250000,4,2,110,Vicente López,Villa Martelli,PH
268000,4,3,108,Vicente López,Olivos,Casa
495000,4,3,245,Vicente López,Villa Adelina,Casa
530000,4,2,120,Palermo,Palermo Chico,Departamento
144000,4,1,84,Vicente López,Munro,Departamento
575000,4,3,134,Vicente López,Olivos,Departamento
150000,5,4,350,Vicente López,Florida,PH
260000,5,1,160,Vicente López,Carapachay,Casa
825000,5,4,668,Vicente López,Olivos,Casa
365000,5,3,91,Palermo,Palermo Soho,Departamento
365000,5,3,91,Palermo,Palermo Viejo,Departamento
1300000,5,2,211,Palermo,Palermo Chico,Departamento
550000,6,3,293,Vicente López,Olivos,Casa
4000000,6,3,270,Palermo,Palermo Chico,Departamento
2550000,7,3,394,Palermo,Palermo Chico,Departamento
93200,1,1,25,Palermo,Palermo Hollywood,Departamento
109700,1,1,32,Palermo,Palermo Hollywood,Departamento
113100,1,1,34,Palermo,Palermo Hollywood,Departamento
204000,1,1,54,Palermo,Palermo Hollywood,Departamento
270000,2,1,53,Palermo,Palermo Soho,Departamento
199300,2,2,54,Palermo,Palermo Hollywood,Departamento
120000,2,1,53,Vicente López,Olivos,Departamento
145000,2,1,55,Vicente López,Olivos,Departamento
135000,2,1,76,Vicente López,Olivos,Departamento
550000,2,2,74,Palermo,Palermo Soho,Local comercial
220000,3,1,185,Vicente López,Florida,PH
385600,3,2,128,Palermo,Palermo Hollywood,Departamento
253500,3,2,65,Palermo,Palermo Hollywood,Departamento
382200,3,2,98,Palermo,Palermo Hollywood,Departamento
227800,3,2,69,Palermo,Palermo Hollywood,Departamento
229700,3,2,68,Palermo,Palermo Hollywood,Departamento
242200,3,2,65,Palermo,Palermo Hollywood,Departamento
233100,3,2,69,Palermo,Palermo Hollywood,Departamento
325000,3,2,78,Vicente López,Olivos,Departamento
371000,4,3,262,Vicente López,Olivos,Departamento
1100000,5,3,475,Palermo,Palermo Soho,Casa
250000,3,1,112,Palermo,Palermo Soho,PH
198000,6,2,161,Vicente López,Carapachay,Casa
315000,5,2,146,Vicente López,Olivos,Casa
295000,4,2,200,Vicente López,Olivos,Oficina
179500,1,1,46,Palermo,Palermo Chico,Departamento
125483,1,1,32,Palermo,Palermo Soho,Departamento
115000,2,1,37,Palermo,Palermo Hollywood,Departamento
570000,4,3,142,Palermo,Palermo Hollywood,Departamento
117000,1,1,40,Palermo,Palermo Soho,Departamento
105000,1,1,25,Palermo,Palermo Hollywood,Departamento
105000,1,1,25,Palermo,Palermo Hollywood,Departamento
135000,2,1,40,Vicente López,Olivos,Departamento
148000,2,1,48,Vicente López,Florida,Departamento
168000,2,1,48,Vicente López,Florida,Departamento
310000,4,2,101,Vicente López,La Lucila,Departamento
112000,2,1,39,Vicente López,Vicente López,Departamento
225000,4,1,148,Vicente López,Olivos,PH
80000,1,1,30,Palermo,Palermo Soho,Casa
235000,2,1,100,Vicente López,Olivos,Casa
330000,4,2,163,Vicente López,Florida,Casa
235000,2,1,100,Vicente López,Olivos,Casa
270000,4,1,110,Vicente López,Olivos,Casa
490000,4,2,98,Palermo,Palermo Chico,Departamento
352000,4,2,102,Palermo,Palermo Hollywood,Departamento
189000,2,1,49,Palermo,Palermo Hollywood,Departamento
1600000,4,3,405,Palermo,Palermo Chico,Departamento
226700,3,1,79,Vicente López,Florida,Departamento
251000,3,1,82,Vicente López,Florida,Departamento
218900,3,1,76,Vicente López,Florida,Departamento
240000,2,1,79,Vicente López,Olivos,Departamento
195000,2,1,64,Vicente López,Florida,Departamento
109000,2,1,41,Vicente López,Florida,Departamento
120000,2,1,75,Vicente López,Carapachay,PH
128000,2,1,42,Palermo,Palermo Hollywood,Departamento
185000,2,2,55,Palermo,Palermo Hollywood,Departamento
390000,2,1,72,Vicente López,Olivos,Departamento
92000,2,1,34,Vicente López,Carapachay,Departamento
203000,3,1,67,Palermo,Palermo Soho,Departamento
172000,3,1,100,Vicente López,Florida,Departamento
180000,3,2,88,Vicente López,Florida,Departamento
550000,4,3,391,Vicente López,Vicente López,Departamento
685000,3,2,140,Vicente López,Olivos,Departamento
133000,3,1,68,Vicente López,Florida Oeste,Departamento
125000,4,2,116,Vicente López,Carapachay,PH
255000,4,2,140,Vicente López,Olivos,Casa
493000,5,2,134,Palermo,Palermo Chico,Departamento
940000,4,3,183,Palermo,Palermo Chico,Departamento
800000,5,3,716,Vicente López,Olivos,Casa
268000,4,1,111,Palermo,Palermo Soho,Departamento
117500,2,1,42,Vicente López,Munro,Departamento
215000,1,1,55,Vicente López,Olivos,Departamento
260000,3,2,73,Vicente López,Olivos,Departamento
211000,3,2,77,Vicente López,Olivos,Departamento
455000,3,2,111,Vicente López,Olivos,Departamento
153000,3,1,48,Vicente López,Olivos,Departamento
215000,3,2,83,Vicente López,Olivos,Departamento
148000,4,1,61,Vicente López,Florida,Departamento
620000,7,2,450,Vicente López,Florida,Casa
115000,1,1,39,Palermo,Palermo Chico,Departamento
730000,4,3,150,Vicente López,Olivos,Departamento
295000,2,1,133,Palermo,Palermo Viejo,Departamento
115000,2,1,37,Palermo,Palermo Hollywood,Departamento
230000,2,1,48,Palermo,Palermo Hollywood,Departamento
280000,2,1,63,Vicente López,Vicente López,Departamento
160000,2,1,54,Vicente López,Florida,Departamento
132000,3,2,60,Vicente López,Olivos,PH
630000,4,3,174,Palermo,Palermo Viejo,Departamento
1690000,4,2,280,Palermo,Palermo Chico,Departamento
263000,3,2,74,Palermo,Palermo Hollywood,Departamento
290000,3,3,160,Vicente López,La Lucila,Departamento
340000,3,2,83,Vicente López,Vicente López,Departamento
330000,5,2,130,Vicente López,Vicente López,Departamento
295000,3,2,91,Vicente López,Olivos,Departamento
250000,3,2,70,Vicente López,Olivos,Departamento
180000,3,1,60,Vicente López,Florida,Departamento
2700000,4,3,481,Palermo,Palermo Chico,Departamento
2550000,4,3,354,Palermo,Palermo Chico,Departamento
830000,5,4,194,Palermo,Palermo Chico,Departamento
720000,4,3,148,Vicente López,Olivos,Departamento
765000,4,3,189,Vicente López,Vicente López,Departamento
600000,5,3,250,Vicente López,Vicente López,Departamento
250000,3,1,75,Palermo,Palermo Viejo,Departamento
279000,6,2,196,Vicente López,Florida,Casa
134000,1,1,43,Palermo,Palermo Soho,Departamento
112000,1,1,49,Palermo,Palermo Hollywood,Departamento
475000,1,2,85,Palermo,Palermo Viejo,Departamento
150000,1,1,42,Palermo,Palermo Soho,Departamento
128000,1,1,36,Palermo,Palermo Hollywood,Departamento
190000,2,2,150,Palermo,Palermo Hollywood,Departamento
97500,2,1,42,Palermo,Palermo Soho,Departamento
115000,2,1,47,Palermo,Palermo Soho,Departamento
210000,2,1,45,Palermo,Palermo Chico,Departamento
145000,2,1,46,Palermo,Palermo Hollywood,Departamento
145000,2,1,46,Palermo,Palermo Hollywood,Departamento
119000,2,1,50,Palermo,Palermo Hollywood,Departamento
240000,2,1,51,Palermo,Palermo Hollywood,Departamento
280000,2,2,72,Palermo,Palermo Hollywood,Departamento
210000,2,1,91,Palermo,Palermo Soho,Departamento
100000,2,1,44,Palermo,Palermo Hollywood,PH
140000,2,1,70,Vicente López,Olivos,PH
149000,2,1,123,Vicente López,Florida,Local comercial
240000,2,2,73,Vicente López,Olivos,Departamento
87000,2,1,47,Vicente López,Vicente López,Departamento
98000,2,1,40,Vicente López,Olivos,Departamento
149000,2,1,43,Vicente López,Olivos,Departamento
300000,2,1,160,Vicente López,Florida,Casa
130000,2,1,42,Vicente López,Olivos,Departamento
169000,2,1,53,Vicente López,Florida Oeste,Departamento
769500,3,2,350,Palermo,Palermo Viejo,Departamento
149500,3,2,68,Palermo,Palermo Soho,Departamento
420000,3,1,122,Palermo,Palermo Soho,Departamento
420000,3,1,122,Palermo,Palermo Soho,Departamento
200000,3,1,78,Palermo,Palermo Hollywood,Departamento
160000,3,1,71,Vicente López,Florida,PH
240000,3,1,86,Vicente López,Olivos,Departamento
207000,3,1,58,Vicente López,Vicente López,Departamento
368000,3,3,374,Vicente López,Florida,Casa
513000,4,3,250,Palermo,Palermo Viejo,Departamento
980000,4,3,155,Palermo,Palermo Chico,Departamento
1100000,4,4,324,Palermo,Palermo Hollywood,Departamento
740000,4,4,147,Palermo,Palermo Chico,Departamento
5250000,4,4,404,Palermo,Palermo Chico,Departamento
2750000,4,4,271,Palermo,Palermo Chico,Departamento
980000,4,4,290,Palermo,Palermo Chico,Departamento
790000,4,3,126,Palermo,Palermo Chico,Departamento
240000,4,2,87,Palermo,Palermo Hollywood,Departamento
480000,4,2,250,Vicente López,Olivos,Casa
240000,4,2,166,Vicente López,Florida,Departamento
299000,4,1,87,Vicente López,Olivos,Departamento
265000,4,2,92,Vicente López,Olivos,Departamento
285000,4,2,92,Vicente López,Olivos,Departamento
220000,4,2,230,Vicente López,Olivos,Casa
215000,4,2,89,Vicente López,Vicente López,Departamento
315000,4,2,150,Vicente López,Olivos,Casa
8000000,5,5,410,Palermo,Palermo Chico,Departamento
5000000,5,5,400,Palermo,Palermo Chico,Departamento
3500000,5,3,311,Palermo,Palermo Chico,Departamento
520000,6,4,228,Vicente López,Olivos,Casa
295000,3,2,88,Palermo,Palermo Hollywood,Departamento
87360,1,1,33,Palermo,Palermo Hollywood,Departamento
450000,3,2,100,Vicente López,Olivos,Departamento
299900,2,1,47,Palermo,Palermo Chico,Departamento
229000,2,1,53,Palermo,Palermo Hollywood,Departamento
119000,2,1,44,Vicente López,Florida,Departamento
108000,3,1,56,Vicente López,Florida Oeste,PH
258000,3,1,190,Vicente López,Florida,Casa
258000,4,2,300,Vicente López,Munro,Casa
168000,3,1,60,Vicente López,Vicente López,Departamento
150000,3,1,72,Vicente López,Carapachay,Departamento
310000,3,1,122,Vicente López,Florida,Departamento
440000,4,1,300,Palermo,Palermo Viejo,PH
440000,4,1,300,Palermo,Palermo Viejo,PH
3000000,4,3,220,Palermo,Palermo Chico,Departamento
295000,2,2,80,Palermo,Palermo Hollywood,Departamento
245000,2,1,50,Vicente López,Vicente López,Departamento
239000,2,1,68,Vicente López,La Lucila,Departamento
270000,2,1,50,Vicente López,Vicente López,Departamento
215000,2,1,77,Vicente López,Florida,Departamento
215000,2,1,77,Vicente López,Florida,Departamento
170000,3,1,130,Vicente López,Munro,Casa
360000,3,2,100,Palermo,Palermo Hollywood,Departamento
240000,3,2,100,Palermo,Palermo Hollywood,Departamento
230000,3,2,96,Vicente López,Vicente López,Departamento
99000,3,1,59,Vicente López,Villa Martelli,PH
345000,4,2,103,Vicente López,Olivos,PH
570000,6,5,366,Vicente López,Olivos,Casa
360000,5,3,212,Vicente López,Olivos,Casa
369000,2,2,212,Vicente López,Vicente López,Casa
570000,6,5,366,Vicente López,Olivos,Casa
145000,1,1,48,Vicente López,Florida,Casa
315000,2,2,109,Vicente López,Florida,Casa
100000,1,1,40,Palermo,Palermo Soho,Departamento
109500,1,1,40,Palermo,Palermo Soho,Departamento
95000,1,1,40,Palermo,Palermo Soho,Departamento
380000,4,2,90,Palermo,Palermo Chico,Departamento
1230000,3,3,147,Palermo,Palermo Hollywood,Departamento
140000,1,1,40,Palermo,Palermo Hollywood,Departamento
107000,1,1,40,Palermo,Palermo Soho,Departamento
190000,3,1,51,Palermo,Palermo Hollywood,Departamento
185000,3,1,77,Vicente López,Munro,Departamento
540000,3,1,130,Vicente López,Olivos,Departamento
275000,2,1,58,Vicente López,Olivos,Departamento
185000,2,2,136,Vicente López,Munro,Departamento
850000,5,4,140,Vicente López,Olivos,Departamento
446000,4,2,110,Vicente López,Olivos,Departamento
215000,3,1,88,Vicente López,Olivos,Departamento
295000,2,2,72,Palermo,Palermo Viejo,Departamento
420000,2,2,76,Palermo,Palermo Chico,Departamento
198000,2,1,43,Palermo,Palermo Hollywood,Departamento
230000,2,2,64,Vicente López,Olivos,Departamento
250000,2,2,60,Vicente López,Olivos,Departamento
178000,3,1,84,Palermo,Palermo Hollywood,PH
190000,3,1,62,Vicente López,Florida,PH
520000,3,2,78,Palermo,Palermo Hollywood,Departamento
550000,3,2,77,Palermo,Palermo Hollywood,Departamento
720000,3,2,105,Palermo,Palermo Hollywood,Departamento
420000,3,3,98,Vicente López,La Lucila,Departamento
149800,3,2,74,Vicente López,Vicente López,Departamento
275000,3,2,154,Vicente López,La Lucila,Departamento
760000,4,2,156,Palermo,Palermo Chico,Departamento
252000,4,2,100,Palermo,Palermo Hollywood,Departamento
790000,4,3,126,Palermo,Palermo Chico,Departamento
2350000,4,5,300,Vicente López,Vicente López,Departamento
1500000,4,2,220,Vicente López,Vicente López,Departamento
250000,5,1,110,Palermo,Palermo Soho,PH
860000,5,3,230,Palermo,Palermo Chico,Departamento
1950000,7,5,336,Palermo,Palermo Chico,Departamento
135000,1,1,38,Palermo,Palermo Hollywood,Departamento
150000,1,1,44,Palermo,Palermo Hollywood,Departamento
130500,1,1,38,Palermo,Palermo Hollywood,Departamento
128500,1,1,38,Palermo,Palermo Chico,Departamento
70000,1,1,30,Vicente López,Olivos,Departamento
185000,2,1,52,Palermo,Palermo Soho,Departamento
189000,2,1,77,Palermo,Palermo Soho,Departamento
230000,2,1,87,Palermo,Palermo Soho,Departamento
179000,2,1,92,Vicente López,Florida,Departamento
265000,2,1,57,Vicente López,Olivos,Departamento
479000,4,1,300,Palermo,Palermo Viejo,PH
479000,4,1,300,Palermo,Palermo Viejo,PH
260000,4,1,130,Vicente López,Florida,PH
220000,4,1,200,Vicente López,Olivos,Casa
295000,5,2,145,Vicente López,Florida,Casa
380000,3,2,91,Palermo,Palermo Chico,Departamento
479000,4,3,148,Vicente López,Olivos,Departamento
155000,2,1,60,Palermo,Palermo Soho,Departamento
820000,6,4,175,Palermo,Palermo Chico,Departamento
190000,4,2,65,Palermo,Palermo Hollywood,Departamento
250000,4,2,85,Vicente López,Olivos,PH
210000,5,1,120,Vicente López,Villa Martelli,PH
210000,4,1,120,Vicente López,Villa Martelli,PH
209000,3,1,120,Vicente López,Olivos,Casa
480000,4,2,200,Vicente López,La Lucila,Casa
540000,1,2,157,Palermo,Palermo Hollywood,Oficina
94800,2,1,33,Palermo,Palermo Hollywood,Departamento
107000,1,1,40,Palermo,Palermo Soho,Departamento
150000,2,1,52,Palermo,Palermo Soho,Departamento
449000,2,3,112,Palermo,Palermo Soho,Departamento
162000,2,1,56,Vicente López,Vicente López,Departamento
70000,1,1,25,Vicente López,Munro,Departamento
339000,4,3,103,Vicente López,Olivos,Departamento
175000,3,1,80,Vicente López,Vicente López,Departamento
255000,2,1,53,Palermo,Palermo Soho,Departamento
280000,2,1,53,Palermo,Palermo Soho,Departamento
220000,2,1,47,Palermo,Palermo Hollywood,Departamento
271800,3,1,69,Palermo,Palermo Hollywood,Departamento
503677,3,3,102,Palermo,Palermo Chico,Departamento
189000,3,1,72,Palermo,Palermo Hollywood,Departamento
285000,3,2,80,Vicente López,Olivos,Departamento
595000,5,2,150,Palermo,Palermo Chico,Departamento
350000,4,2,110,Palermo,Palermo Soho,Departamento
198000,4,2,74,Palermo,Palermo Soho,Departamento
349000,8,3,156,Vicente López,Olivos,Casa
154900,2,1,60,Palermo,Palermo Soho,Departamento
390000,5,2,315,Vicente López,Olivos,Casa
118000,1,1,34,Palermo,Palermo Soho,Departamento
243000,1,1,47,Palermo,Palermo Chico,Departamento
150000,1,1,48,Vicente López,Vicente López,Departamento
84000,1,1,21,Vicente López,Olivos,Departamento
160000,1,1,46,Vicente López,Vicente López,Departamento
165000,1,1,48,Vicente López,Olivos,Departamento
168000,1,1,48,Vicente López,Olivos,Departamento
170000,1,1,48,Vicente López,Olivos,Departamento
170000,1,1,48,Vicente López,Olivos,Departamento
169000,1,1,51,Palermo,Palermo Soho,Departamento
116000,1,1,34,Palermo,Palermo Hollywood,Departamento
106000,1,1,32,Palermo,Palermo Hollywood,Departamento
79000,2,1,62,Vicente López,Carapachay,PH
218000,2,2,54,Vicente López,Olivos,Departamento
259000,2,2,54,Vicente López,Olivos,Departamento
150000,2,1,47,Vicente López,Vicente López,Departamento
189000,2,1,92,Vicente López,Florida,Departamento
179000,2,1,48,Vicente López,Vicente López,Departamento
370000,2,1,74,Vicente López,Olivos,Departamento
202000,2,1,55,Palermo,Palermo Soho,Departamento
179500,2,1,55,Palermo,Palermo Soho,Departamento
220000,3,2,84,Vicente López,Florida,Departamento
440000,3,2,107,Vicente López,Olivos,Departamento
335000,3,2,68,Palermo,Palermo Hollywood,Departamento
415000,3,3,86,Vicente López,La Lucila,Departamento
333000,3,2,101,Vicente López,Olivos,Departamento
395000,4,2,160,Vicente López,Olivos,Casa
150000,4,1,65,Vicente López,Villa Martelli,Departamento
175000,4,2,175,Vicente López,Villa Martelli,PH
198000,4,1,94,Vicente López,Olivos,Casa
220000,4,1,91,Vicente López,Vicente López,Departamento
465000,4,2,163,Vicente López,Olivos,Departamento
210000,5,3,130,Vicente López,Olivos,PH
479000,7,2,371,Vicente López,Florida,Casa
250000,7,4,300,Vicente López,Vicente López,Casa
125000,3,2,115,Vicente López,Munro,PH
830000,5,5,558,Vicente López,Vicente López,Casa
315000,5,3,130,Vicente López,Florida,Casa
124000,1,1,45,Palermo,Palermo Hollywood,Departamento
330000,2,1,77,Palermo,Palermo Hollywood,Departamento
168000,1,2,56,Palermo,Palermo Hollywood,Departamento
430000,3,2,180,Palermo,Palermo Soho,Departamento
142000,1,2,55,Palermo,Palermo Hollywood,Departamento
620000,3,2,126,Vicente López,La Lucila,Departamento
